name	scope	source_id	source_path	repo_path	files	bytes	description	synced_at
bio-paper2ppt	global	global_claude_skills	/home/teng/.claude/skills/bio-paper2ppt	skills/global/bio-paper2ppt	2	4265	Create Chinese presentation plans or PPTX decks from bioinformatics papers, EVIDENCE_PACK.md, figures, tables, abstracts, or reading notes. Use for 生信论文转PPT, 组会汇报, journal club, 多组学/单细胞/算法论文汇报. Focus on story, workflow, evidence figures, limitations, and discussion questions; do not run analyses or fabricate results.	2026-06-19T22:27:29
bio-paper2ppt	global	global_codex_skills	/home/teng/.codex/skills/bio-paper2ppt	skills/global/bio-paper2ppt	2	4265	Create Chinese presentation plans or PPTX decks from bioinformatics papers, EVIDENCE_PACK.md, figures, tables, abstracts, or reading notes. Use for 生信论文转PPT, 组会汇报, journal club, 多组学/单细胞/算法论文汇报. Focus on story, workflow, evidence figures, limitations, and discussion questions; do not run analyses or fabricate results.	2026-06-19T22:27:29
bio-polishing	global	global_claude_skills	/home/teng/.claude/skills/bio-polishing	skills/global/bio-polishing	2	4002	Polish, restructure, or translate bioinformatics manuscript prose while preserving evidence boundaries. Use for 生信论文润色, 中译英, SCI润色, Results润色, Discussion润色, 摘要润色, 术语统一, overclaim检查. Do not add new analyses, citations, statistics, accessions, software versions, or biological mechanisms not supplied by the user.	2026-06-19T22:27:29
bio-polishing	global	global_codex_skills	/home/teng/.codex/skills/bio-polishing	skills/global/bio-polishing	2	4002	Polish, restructure, or translate bioinformatics manuscript prose while preserving evidence boundaries. Use for 生信论文润色, 中译英, SCI润色, Results润色, Discussion润色, 摘要润色, 术语统一, overclaim检查. Do not add new analyses, citations, statistics, accessions, software versions, or biological mechanisms not supplied by the user.	2026-06-19T22:27:29
bio-research-auto-router	global	global_claude_skills	/home/teng/.claude/skills/bio-research-auto-router	skills/global/bio-research-auto-router	2	5076	Broad auto-router for vague Chinese or English bioinformatics, life-science research, omics, manuscript, paper-writing, reviewer-response, data-availability, PPT, literature-method, accession, GEO/SRA, RNA-seq, enrichment, workflow, or evidence-pack tasks when the user does not name a specific skill. Use for prompts like 帮我看看这些结果, 这个能不能写文章, 下一步怎么做, 整理一下生信结果, 写论文, 改文章, 审稿意见怎么回, 做组会PPT. Routes to bioinfo-evidence-orchestrator, bio-paper-writing, bio-results-writing, bio-methods-writing, bio-polishing, bio-reviewer-response, bio-data-code-availability, bio-paper2ppt, literature-method-data-miner, and existing tooluniverse/pubmed/reproduction skills.	2026-06-19T22:27:29
bio-research-auto-router	global	global_codex_skills	/home/teng/.codex/skills/bio-research-auto-router	skills/global/bio-research-auto-router	2	5076	Broad auto-router for vague Chinese or English bioinformatics, life-science research, omics, manuscript, paper-writing, reviewer-response, data-availability, PPT, literature-method, accession, GEO/SRA, RNA-seq, enrichment, workflow, or evidence-pack tasks when the user does not name a specific skill. Use for prompts like 帮我看看这些结果, 这个能不能写文章, 下一步怎么做, 整理一下生信结果, 写论文, 改文章, 审稿意见怎么回, 做组会PPT. Routes to bioinfo-evidence-orchestrator, bio-paper-writing, bio-results-writing, bio-methods-writing, bio-polishing, bio-reviewer-response, bio-data-code-availability, bio-paper2ppt, literature-method-data-miner, and existing tooluniverse/pubmed/reproduction skills.	2026-06-19T22:27:29
bio-results-writing	global	global_claude_skills	/home/teng/.claude/skills/bio-results-writing	skills/global/bio-results-writing	2	3925	Write bioinformatics Results sections from figures, tables, EVIDENCE_PACK.md, analysis summaries, and Chinese result notes. Use for 生信Results, 根据图表写结果, RNA-seq结果写作, 富集结果写作, 单细胞/多组学结果段落. Do not run analyses, change statistics, or fabricate p values, FDR, sample sizes, figure panels, or mechanisms.	2026-06-19T22:27:29
bio-results-writing	global	global_codex_skills	/home/teng/.codex/skills/bio-results-writing	skills/global/bio-results-writing	2	3925	Write bioinformatics Results sections from figures, tables, EVIDENCE_PACK.md, analysis summaries, and Chinese result notes. Use for 生信Results, 根据图表写结果, RNA-seq结果写作, 富集结果写作, 单细胞/多组学结果段落. Do not run analyses, change statistics, or fabricate p values, FDR, sample sizes, figure panels, or mechanisms.	2026-06-19T22:27:29
bio-reviewer-response	global	global_claude_skills	/home/teng/.claude/skills/bio-reviewer-response	skills/global/bio-reviewer-response	2	4713	Draft, audit, or revise point-by-point reviewer responses for bioinformatics manuscripts. Use for 生信审稿回复, 逐点回复, 大修回复, reviewer质疑batch effect/FDR/外部验证/数据泄露/样本量/方法可复现. Do not claim analyses, revisions, citations, line numbers, figures, or validations were completed unless supplied by the author.	2026-06-19T22:27:29
bio-reviewer-response	global	global_codex_skills	/home/teng/.codex/skills/bio-reviewer-response	skills/global/bio-reviewer-response	2	4713	Draft, audit, or revise point-by-point reviewer responses for bioinformatics manuscripts. Use for 生信审稿回复, 逐点回复, 大修回复, reviewer质疑batch effect/FDR/外部验证/数据泄露/样本量/方法可复现. Do not claim analyses, revisions, citations, line numbers, figures, or validations were completed unless supplied by the author.	2026-06-19T22:27:29
bioinfo-evidence-orchestrator	global	global_claude_skills	/home/teng/.claude/skills/bioinfo-evidence-orchestrator	skills/global/bioinfo-evidence-orchestrator	2	7419	Bioinformatics evidence orchestration skill. Use when the user asks to analyze, validate, reproduce, inspect, organize, or prepare evidence from bioinformatics datasets, omics results, gene lists, workflows, database records, accessions, papers, or figures before writing. Routes to existing skills such as tooluniverse, pubmed-database, literature-method-data-miner, tooluniverse-rnaseq-deseq2, tooluniverse-gene-enrichment, sequence/protein/phylogenetics skills, scientific-critical-thinking, and reproduction skills. Produces EVIDENCE_PACK.md, risk tables, figure inventories, and missing-information lists. Do not use for manuscript prose drafting, polishing, reviewer responses, or PPT writing. 中文触发词：生信分析、组学分析、数据库查证、GEO、SRA、accession、QC、富集分析、RNA-seq、DESeq2、整理证据、写论文前整理结果、复现生信流程。	2026-06-19T22:27:29
bioinfo-evidence-orchestrator	global	global_codex_skills	/home/teng/.codex/skills/bioinfo-evidence-orchestrator	skills/global/bioinfo-evidence-orchestrator	2	7419	Bioinformatics evidence orchestration skill. Use when the user asks to analyze, validate, reproduce, inspect, organize, or prepare evidence from bioinformatics datasets, omics results, gene lists, workflows, database records, accessions, papers, or figures before writing. Routes to existing skills such as tooluniverse, pubmed-database, literature-method-data-miner, tooluniverse-rnaseq-deseq2, tooluniverse-gene-enrichment, sequence/protein/phylogenetics skills, scientific-critical-thinking, and reproduction skills. Produces EVIDENCE_PACK.md, risk tables, figure inventories, and missing-information lists. Do not use for manuscript prose drafting, polishing, reviewer responses, or PPT writing. 中文触发词：生信分析、组学分析、数据库查证、GEO、SRA、accession、QC、富集分析、RNA-seq、DESeq2、整理证据、写论文前整理结果、复现生信流程。	2026-06-19T22:27:29
bug-repro-plan	global	global_claude_skills	/home/teng/.claude/skills/bug-repro-plan	skills/global/bug-repro-plan	1	1003	Create a minimal repeatable bug reproduction plan with environment, steps, expected vs actual behavior, and evidence checklist. Use when the user asks 复现 bug, 最小复现, reproduce issue, bug repro, 问题复现步骤, or before debugging an unclear failure.	2026-06-19T22:27:29
bug-repro-plan	global	global_codex_skills	/home/teng/.codex/skills/bug-repro-plan	skills/global/bug-repro-plan	1	1003	Create a minimal repeatable bug reproduction plan with environment, steps, expected vs actual behavior, and evidence checklist. Use when the user asks 复现 bug, 最小复现, reproduce issue, bug repro, 问题复现步骤, or before debugging an unclear failure.	2026-06-19T22:27:29
ci-failure-triage	global	global_claude_skills	/home/teng/.claude/skills/ci-failure-triage	skills/global/ci-failure-triage	1	809	Diagnose CI/build/test pipeline failures and separate deterministic failures from flakes. Use when the user mentions CI 失败, pipeline failed, GitHub Actions, build failed, test failed in CI, flaky CI, 构建失败, or wants CI failure triage.	2026-06-19T22:27:29
ci-failure-triage	global	global_codex_skills	/home/teng/.codex/skills/ci-failure-triage	skills/global/ci-failure-triage	1	809	Diagnose CI/build/test pipeline failures and separate deterministic failures from flakes. Use when the user mentions CI 失败, pipeline failed, GitHub Actions, build failed, test failed in CI, flaky CI, 构建失败, or wants CI failure triage.	2026-06-19T22:27:29
config-file-explainer	global	global_claude_skills	/home/teng/.claude/skills/config-file-explainer	skills/global/config-file-explainer	1	802	Explain a configuration file and its key options, risks, and safe changes. Use when the user asks 解释配置, 看一下 config, config.toml, yaml/json/toml 配置, 配置项什么意思, 哪些配置可以改, configuration file explainer.	2026-06-19T22:27:29
config-file-explainer	global	global_codex_skills	/home/teng/.codex/skills/config-file-explainer	skills/global/config-file-explainer	1	802	Explain a configuration file and its key options, risks, and safe changes. Use when the user asks 解释配置, 看一下 config, config.toml, yaml/json/toml 配置, 配置项什么意思, 哪些配置可以改, configuration file explainer.	2026-06-19T22:27:29
edit-article	global	global_claude_skills	/home/teng/.claude/skills/edit-article	skills/global/edit-article	1	721	Edit and improve articles by restructuring sections, improving clarity, and tightening prose. Use when user wants to edit, revise, or improve an article draft.	2026-06-19T22:27:29
edit-article	global	global_codex_skills	/home/teng/.codex/skills/edit-article	skills/global/edit-article	1	721	Edit and improve articles by restructuring sections, improving clarity, and tightening prose. Use when user wants to edit, revise, or improve an article draft.	2026-06-19T22:27:29
env-and-assets-bootstrap	global	global_claude_skills	/home/teng/.claude/skills/env-and-assets-bootstrap	skills/global/env-and-assets-bootstrap	8	19056	Environment and assets sub-skill for README-first AI repo reproduction. Use when the task is specifically to prepare a conservative conda-first environment, checkpoint and dataset path assumptions, cache location hints, and setup notes before any run on a README-documented repository. Do not use for repo scanning, full orchestration, paper interpretation, final run reporting, or generic environment setup that is not tied to a specific reproduction target.	2026-06-19T22:27:29
env-and-assets-bootstrap	global	global_codex_skills	/home/teng/.codex/skills/env-and-assets-bootstrap	skills/global/env-and-assets-bootstrap	8	19207	Environment and assets sub-skill for README-first AI repo reproduction. Use when the task is specifically to prepare a conservative conda-first environment, checkpoint and dataset path assumptions, cache location hints, and setup notes before any run on a README-documented repository. Do not use for repo scanning, full orchestration, paper interpretation, final run reporting, or generic environment setup that is not tied to a specific reproduction target. 中文触发词：复现环境、论文复现环境、conda环境、依赖安装、checkpoint路径、dataset路径、cache目录、复现准备。	2026-06-19T22:27:29
find-skills	global	global_claude_skills	/home/teng/.claude/skills/find-skills	skills/global/find-skills	1	5680	Helps users discover, compare, and install agent skills. Use when the user asks how to do X with a skill, says find a skill / is there a skill, wants tools/templates/workflows, or in Chinese asks 搜索skill, 找skill, 找一下有没有, 有没有skill, 安装skill, 管理skill, 管理 skill 库, skill库, skill 库, 补全skill生态, 自动触发skill, or wants to extend agent capabilities. In a planning-with-files ecosystem, use this as the discovery layer and record candidates/decisions in findings.md and SKILL_INVENTORY.md.	2026-06-19T22:27:29
find-skills	global	global_codex_skills	/home/teng/.codex/skills/find-skills	skills/global/find-skills	1	5680	Helps users discover, compare, and install agent skills. Use when the user asks how to do X with a skill, says find a skill / is there a skill, wants tools/templates/workflows, or in Chinese asks 搜索skill, 找skill, 找一下有没有, 有没有skill, 安装skill, 管理skill, 管理 skill 库, skill库, skill 库, 补全skill生态, 自动触发skill, or wants to extend agent capabilities. In a planning-with-files ecosystem, use this as the discovery layer and record candidates/decisions in findings.md and SKILL_INVENTORY.md.	2026-06-19T22:27:29
grill-me	global	global_claude_skills	/home/teng/.claude/skills/grill-me	skills/global/grill-me	1	828	Interview the user one question at a time to clarify a plan, requirement, research design, workflow, or implementation approach before execution. Use when the user wants to discuss/完善方案/商量方案/先别写代码/先不要写代码/先定流程/先完善流程/先问清楚/先规划/需求澄清/方案评审/风险梳理/把思路问透, or when they ask to stress-test a plan without immediately doing the task.	2026-06-19T22:27:29
grill-me	global	global_codex_skills	/home/teng/.codex/skills/grill-me	skills/global/grill-me	1	828	Interview the user one question at a time to clarify a plan, requirement, research design, workflow, or implementation approach before execution. Use when the user wants to discuss/完善方案/商量方案/先别写代码/先不要写代码/先定流程/先完善流程/先问清楚/先规划/需求澄清/方案评审/风险梳理/把思路问透, or when they ask to stress-test a plan without immediately doing the task.	2026-06-19T22:27:29
implement-paper	global	global_claude_skills	/home/teng/.claude/skills/implement-paper	skills/global/implement-paper	3	9393	Implement a research paper as an interactive marimo notebook together with the user. Start by understanding what the user wants to explore, fetch the paper via alphaxiv, then build a focused notebook.	2026-06-19T22:27:29
implement-paper	global	global_codex_skills	/home/teng/.codex/skills/implement-paper	skills/global/implement-paper	3	9531	Implement a research paper as an interactive marimo notebook together with the user. Start by understanding what the user wants to explore, fetch the paper via alphaxiv, then build a focused notebook. 中文触发词：实现论文、论文变代码、paper to code、交互式notebook、marimo、复现方法、教学演示notebook。	2026-06-19T22:27:29
literature-method-data-miner	global	global_claude_skills	/home/teng/.claude/skills/literature-method-data-miner	skills/global/literature-method-data-miner	2	4893	Interpret short Chinese literature-method prompts as a request to mine research methods and data from papers. Use when the user says 文献是怎么做的、这篇文献怎么做的、这些文献怎么做的、参考文献是怎么做的、文献里的方法、文献方法、参考文献的做法、从文献找科研方法、从文献收集数据、正文和附录数据、补充材料数据、根据文献找实验设计, even when papers were not provided and should be found through deep research first. Works as a planning-with-files router for literature discovery, main-text/supplement data extraction, method comparison, and idea generation.	2026-06-19T22:27:29
literature-method-data-miner	global	global_codex_skills	/home/teng/.codex/skills/literature-method-data-miner	skills/global/literature-method-data-miner	2	4893	Interpret short Chinese literature-method prompts as a request to mine research methods and data from papers. Use when the user says 文献是怎么做的、这篇文献怎么做的、这些文献怎么做的、参考文献是怎么做的、文献里的方法、文献方法、参考文献的做法、从文献找科研方法、从文献收集数据、正文和附录数据、补充材料数据、根据文献找实验设计, even when papers were not provided and should be found through deep research first. Works as a planning-with-files router for literature discovery, main-text/supplement data extraction, method comparison, and idea generation.	2026-06-19T22:27:29
llm-context	global	global_claude_skills	/home/teng/.claude/skills/llm-context	skills/global/llm-context	1	11442	USE FOR RAG/LLM grounding. Returns pre-extracted web content (text, tables, code) optimized for LLMs. GET + POST. Adjust max_tokens/count based on complexity. Supports Goggles, local/POI. For AI answers use answers. Recommended for anyone building AI/agentic applications.	2026-06-19T22:27:29
llm-context	global	global_codex_skills	/home/teng/.codex/skills/llm-context	skills/global/llm-context	1	11442	USE FOR RAG/LLM grounding. Returns pre-extracted web content (text, tables, code) optimized for LLMs. GET + POST. Adjust max_tokens/count based on complexity. Supports Goggles, local/POI. For AI answers use answers. Recommended for anyone building AI/agentic applications.	2026-06-19T22:27:29
log-summarizer	global	global_claude_skills	/home/teng/.claude/skills/log-summarizer	skills/global/log-summarizer	1	832	Summarize noisy logs, errors, command output, or run logs into likely causes and next steps. Use when the user provides 日志, 报错, error output, traceback, CI logs, run logs, 长任务失败日志, or asks 分析日志 / 看报错 / 找失败原因.	2026-06-19T22:27:29
log-summarizer	global	global_codex_skills	/home/teng/.codex/skills/log-summarizer	skills/global/log-summarizer	1	832	Summarize noisy logs, errors, command output, or run logs into likely causes and next steps. Use when the user provides 日志, 报错, error output, traceback, CI logs, run logs, 长任务失败日志, or asks 分析日志 / 看报错 / 找失败原因.	2026-06-19T22:27:29
minimal-run-and-audit	global	global_claude_skills	/home/teng/.claude/skills/minimal-run-and-audit	skills/global/minimal-run-and-audit	5	13512	Trusted-lane execution and reporting skill for README-first AI repo reproduction. Use when the task is specifically to capture or normalize evidence from the selected smoke test or documented inference or evaluation command and write standardized `repro_outputs/` files, including patch notes when repository files changed. Do not use for training execution, initial repo intake, generic environment setup, paper lookup, target selection, or end-to-end orchestration by itself.	2026-06-19T22:27:29
minimal-run-and-audit	global	global_codex_skills	/home/teng/.codex/skills/minimal-run-and-audit	skills/global/minimal-run-and-audit	5	13656	Trusted-lane execution and reporting skill for README-first AI repo reproduction. Use when the task is specifically to capture or normalize evidence from the selected smoke test or documented inference or evaluation command and write standardized `repro_outputs/` files, including patch notes when repository files changed. Do not use for training execution, initial repo intake, generic environment setup, paper lookup, target selection, or end-to-end orchestration by itself. 中文触发词：最小复现运行、smoke test、复现实验审计、运行证据、repro_outputs、评估命令、复现失败记录。	2026-06-19T22:27:29
paper-context-resolver	global	global_claude_skills	/home/teng/.claude/skills/paper-context-resolver	skills/global/paper-context-resolver	3	3625	Optional narrow helper skill for README-first AI repo reproduction. Use only when the README and repository files leave a narrow reproduction-critical gap and the task is to resolve a specific paper detail such as dataset split, preprocessing, evaluation protocol, checkpoint mapping, or runtime assumption from primary paper sources while recording conflicts. Do not use for general paper summary, repo scanning, environment setup, command execution, title-only paper lookup, or replacing README guidance by default.	2026-06-19T22:27:29
paper-context-resolver	global	global_codex_skills	/home/teng/.codex/skills/paper-context-resolver	skills/global/paper-context-resolver	3	3982	Optional narrow helper skill for README-first AI repo reproduction. Use only when the README and repository files leave a narrow reproduction-critical gap and the task is to resolve a specific paper detail such as dataset split, preprocessing, evaluation protocol, checkpoint mapping, or runtime assumption from primary paper sources while recording conflicts. Do not use for general paper summary, repo scanning, environment setup, command execution, title-only paper lookup, or replacing README guidance by default. 中文触发词：论文复现、复现细节、数据集版本、dataset split、预处理、评估协议、checkpoint映射、runtime假设、README缺口。 中文追加触发词：参考文献的做法、论文里的实验做法、论文方法怎么复现、文献方法细节、数据集split怎么做、metric怎么做、checkpoint怎么对应。	2026-06-19T22:27:29
planning-with-files	global	global_claude_skills	/home/teng/.claude/skills/planning-with-files	skills/global/planning-with-files	17	76670	Implements Manus-style file-based planning to organize and track progress on complex tasks. Creates task_plan.md, findings.md, and progress.md. Use when asked to plan out, break down, or organize a multi-step project, research task, or any work requiring 5+ tool calls. In Chinese, trigger on 大项目, 逐步推进, 继续下一步, 制定计划, 拆解任务, 当前进展, 恢复上下文, task_plan.md, findings.md, progress.md, planning-with-files. Supports automatic session recovery after /clear and works as the task kernel for phase-routed helper skills.	2026-06-19T22:27:29
planning-with-files	global	global_codex_skills	/home/teng/.codex/skills/planning-with-files	skills/global/planning-with-files	17	76670	Implements Manus-style file-based planning to organize and track progress on complex tasks. Creates task_plan.md, findings.md, and progress.md. Use when asked to plan out, break down, or organize a multi-step project, research task, or any work requiring 5+ tool calls. In Chinese, trigger on 大项目, 逐步推进, 继续下一步, 制定计划, 拆解任务, 当前进展, 恢复上下文, task_plan.md, findings.md, progress.md, planning-with-files. Supports automatic session recovery after /clear and works as the task kernel for phase-routed helper skills.	2026-06-19T22:27:29
ppt-image-first	global	global_claude_skills	/home/teng/.claude/skills/ppt-image-first	skills/global/ppt-image-first	23	33972855	Build presentation plans for PPT / slides / decks through a conversation-first workflow, then propose multiple visual directions with preview images before writing deck specs. Use when the user asks to create a PPT, presentation, deck, 答辩稿, 路演 deck, 产品介绍 PPT, 汇报 PPT, or when the user has only a topic or rough materials and needs help clarifying structure, style, and page planning before generation.	2026-06-19T22:27:29
ppt-image-first	global	global_codex_skills	/home/teng/.codex/skills/ppt-image-first	skills/global/ppt-image-first	23	33972855	Build presentation plans for PPT / slides / decks through a conversation-first workflow, then propose multiple visual directions with preview images before writing deck specs. Use when the user asks to create a PPT, presentation, deck, 答辩稿, 路演 deck, 产品介绍 PPT, 汇报 PPT, or when the user has only a topic or rough materials and needs help clarifying structure, style, and page planning before generation.	2026-06-19T22:27:29
project-flow-guard	global	global_claude_skills	/home/teng/.claude/skills/project-flow-guard	skills/global/project-flow-guard	5	40757	Development-time project flow/version guard for Codex across any project. Use to prevent version confusion when work creates or regenerates nontrivial artifacts, promotes accepted outputs, branches long-lived directions, packages releases, or reorganizes files. It treats runs as provenance, not the human result entry point, and prefers md/tsv/json ledgers such as `RESULTS_INDEX.md`, `RUNS_INDEX.tsv`/`.project_flow/RUNS.tsv`, and `RUN_MANIFEST.json`. Trigger on 重跑, 重新生成, 重新绘图, 再生成一版, 改一版, 调整一下, 换参数, 换参考, 基于这版, 保留这个版本, 就用这个, 设为当前版本, make current, accept, promote, 冻结当前版本, 保存当前状态, snapshot, baseline, seal, 开分支, 新分析方向, 基于这个版本继续, branch, same data new analysis, release, 投稿, 打包, 清理旧版本, 整理目录, delete old versions, or similar.	2026-06-19T22:27:29
project-flow-guard	global	global_codex_skills	/home/teng/.codex/skills/project-flow-guard	skills/global/project-flow-guard	5	40836	Development-time project flow/version guard for Codex across any project. Use to prevent version confusion when work creates or regenerates nontrivial artifacts, promotes accepted outputs, branches long-lived directions, packages releases, or reorganizes files. It treats runs as provenance, not the human result entry point, and prefers md/tsv/json ledgers such as `RESULTS_INDEX.md`, `RUNS_INDEX.tsv`/`.project_flow/RUNS.tsv`, and `RUN_MANIFEST.json`. Trigger on 重跑, 重新生成, 重新绘图, 再生成一版, 改一版, 调整一下, 换参数, 换参考, 基于这版, 保留这个版本, 就用这个, 设为当前版本, make current, accept, promote, 冻结当前版本, 保存当前状态, snapshot, baseline, seal, 开分支, 新分析方向, 基于这个版本继续, branch, same data new analysis, release, 投稿, 打包, 清理旧版本, 整理目录, delete old versions, or similar.	2026-06-19T22:27:29
project-skeleton	global	global_codex_skills	/home/teng/.codex/skills/project-skeleton	skills/global/project-skeleton	1	1294	Thin Chinese trigger/alias for bootstrapping or resuming a repository project workflow skeleton. Use when the user says 项目骨架, 新项目骨架, 搭项目骨架, 初始化项目骨架, 项目工作流骨架, 研究项目骨架, 科研项目骨架, 开工, 继续项目, or asks to scaffold a durable research/project harness.	2026-06-19T22:27:29
project-state-maintainer	global	global_claude_skills	/home/teng/.claude/skills/project-state-maintainer	skills/global/project-state-maintainer	4	15593	Maintain a thin canonical `PROJECT_STATE.md` plus optional md/tsv/json companion docs so work can be resumed from the project folder instead of chat history. Use when creating/adopting/resuming a project, making meaningful changes or decisions, handing work off, summarizing status/progress/next steps, or when project docs risk becoming too large and need splitting into `RESULTS_INDEX.md`, `DECISIONS.md`, `DATA_ASSETS.md`, or run/result registries. In Chinese, also trigger when the user says `写一个项目状态文档`, `更新项目状态文档`, `总结项目状态`, `记录当前项目进度`, `整理项目当前进展`, `项目文档太大`, `拆分项目文档`, or similar.	2026-06-19T22:27:29
project-state-maintainer	global	global_codex_skills	/home/teng/.codex/skills/project-state-maintainer	skills/global/project-state-maintainer	4	15629	Maintain a thin canonical `PROJECT_STATE.md` plus optional md/tsv/json companion docs so work can be resumed from the project folder instead of chat history. Use when creating/adopting/resuming a project, making meaningful changes or decisions, handing work off, summarizing status/progress/next steps, or when project docs risk becoming too large and need splitting into `RESULTS_INDEX.md`, `DECISIONS.md`, `DATA_ASSETS.md`, or run/result registries. In Chinese, also trigger when the user says `写一个项目状态文档`, `更新项目状态文档`, `总结项目状态`, `记录当前项目进度`, `整理项目当前进展`, `项目文档太大`, `拆分项目文档`, or similar.	2026-06-19T22:27:29
project-version-curator	global	global_claude_skills	/home/teng/.claude/skills/project-version-curator	skills/global/project-version-curator	3	21782	Post-hoc audit, cleanup planning, and release/staging preparation for already messy project directories where many dated, v1/v2/v3, final/current, intermediate, figure, table, and script files are mixed together. Use when Codex is asked to audit existing version clutter, generate an inventory, detect duplicate/conflicting historical files, map files to accepted/candidate/legacy status using project indexes, or create a dry-run cleanup/release plan after the fact. For active development-time guardrails, new runs, promotion, baselines, or branching, use project-flow-guard instead.	2026-06-19T22:27:29
project-version-curator	global	global_codex_skills	/home/teng/.codex/skills/project-version-curator	skills/global/project-version-curator	3	21847	Post-hoc audit, cleanup planning, and release/staging preparation for already messy project directories where many dated, v1/v2/v3, final/current, intermediate, figure, table, and script files are mixed together. Use when Codex is asked to audit existing version clutter, generate an inventory, detect duplicate/conflicting historical files, map files to accepted/candidate/legacy status using project indexes, or create a dry-run cleanup/release plan after the fact. For active development-time guardrails, new runs, promotion, baselines, or branching, use project-flow-guard instead.	2026-06-19T22:27:29
